Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена,Извор
Скршнување,"Вели дека се вика Емили, но тоа не е нејзиното вистинско име. Го позајмила од поетесата Емили Дикинсон, чија книга поезија е едно од ретките нешта што ги понела со себе бегајќи во дивите предели на Велс. Нејзиниот стар дом е во Амстердам, но го напуштила откако признала дека е во вонбрачна врска со студент и добила отказ од работа. На фармата каде што доаѓа наоѓа десет гуски. Една по една, тие исчезнуваат.
Навистина, која е оваа средовечна жена? Дали нејзиниот сопруг ќе успее да ја најде? А момчето што останува да преспие на имотот: зошто не сака да си замине? И зошто гуските исчезнуваат?
Сместен во прекрасните велшки пејзажи, „Скршнување“ е приказна за потрагата по себе и за природата на болката. Романот на Бакер освојува со својата заводлива атмосфера на осаменост и закана и со приказната полна со искрено сочувство и со ретка убавина. Кристалната прецизност и привидната едноставност на ова дело од еден од најзначајните европски писатели на својата генерација кријат гејзир од силни емоции.",Фикција,Гербранд Бакер,Антолог,2017.0,192.0,250 Денари,antolog
Изворите на В’лтава,"„Изворите на В’лтава“ базично му припаѓа на детективскиот жанр, но се надоградува како историско-политички трилер.
Зад приказната за пронаоѓањето на мртвата девојка Тереза Велкова една студена ноќ во Шумава и истрагата за нејзината смрт, се откриваат долго премолчуваните вистини за воените злосторства во чешко-германскиот граничен регион. Убиената девојка е пронајдена во затвореничка облека на риги со еврејски амблем. Изнурнуваат приказните за подземни тунели, за тајна нацистичка фабрика за авионски делови и за логор кој не бил никаде евидентиран и за чии жртви не постои никаква трага. Старите приказни влијаат врз животите на новите генерации што живеат во таа област. Духот на наследените нетрпеливости ја интензивира поделеноста на заедницата и овозможува понирање во длабоките слоеви на психолошките профили на главните ликови на приказната.  
Романот се има закитено со почесното признание „Јиржи Марко“, награда која се доделува за најдобриот детективски роман во Чешка.",Фикција,Петра Клабоухова,Антолог,2024.0,300.0,400 Денари,antolog
Тринити,"Тринити е три. Тринити е тројство меѓу јазолот на смртта, моќта на љубовта и вечното пријателство.
Тринити е драма за пукање на маските. Тринити е драма за човекот, чии точки се разбегани, се шетаат некаде, којзнае каде.
Тринити е соѕвездието на кое тие секогаш му се враќаат.
ЈАГОДА:Еднаш неделно имавме секс во дворот.
ЕДИ: Како?!
ЈАГОДА: Јако. Ха-ха. Се топевме заедно со месечевата светлина… Знаеш, небото во град е штуро, празно или, во најдобра рака, полупразно. Сите ѕвезди се разбегани. Се шетаат некаде, којзнае каде. Сакам да одиме таму каде што сите ѕвезди се на број. Ветуваш дека ќе одиме?
ЕДИ: Ако не ги скинат конците.
……………………………………………………………………………………………………………………………………….
ЕДИ: Зошто сметате дека клучот е баш тука и тоа токму кај еден сосема небитен, обичен човек како мене?
ÉDOUARD: Le café. C’est plus fort. Појако е овде. Полесно буди.
ЕДИ (смеејќи се гласно): Кафето?! Ха-ха. Лудило! Буди… грешка сте monsieur, можеби е појако, но само во горчина, ве уверувам. Ова е џунгла од заспани луѓе… Што е со маскава?!
ÉDOUARD: Маската си ти, monsieur Ед.",Фикција,Анета Попова,Антолог,2013.0,63.0,200 Денари,antolog
Невидлив,"Приказна за едно дете кое, раководејќи се од најлошиот советник – стравот, посакува да има супермоќи како суперхероите од стриповите што ги чита. Го прави тоа за да се спаси од насилството што го трпи од соучениците. Посакува да стане невидливо, како механизам за бегство, за заштита од суровата реалност што го опкружува, без да биде свесно дека всушност страда. Детето не добива помош од никој, бидејќи е невидливо за сите оние што гледаат што се случува но претпочитаат да не видат, за сите што не сакаат да гледаат и ја вртат главата настрана, и за сите што гледаат но се плашат или едноставно мислат дека тоа не е нивен проблем. Како што вели и самиот автор: „Никој не е невидлив ако другите не му помогнат да биде невидлив“.
Невидлив е приказна раскажана низ призмата на насилникот и жртвата, неговата симпатија и пријателите, родителите и наставниците, и поучна за сите што ќе ја прочитаат.
Училишното насилство отсекогаш било присутно меѓу нас, но овој роман е напишан сега и тука, од талентиран автор што го прави ова искуство уште помоќно од она во реалноста.
Романот досега има повеќе од дваесет изданија и е преведен на многу јазици. Невидлив ги добива наградите „Јолео“ и „Аче“ за 2019 година, а бил финалист и за наградата „Менхалибрес“.
Книгата е објавена во рамки на проектот Made in Europe: The power of diversity / Создадено во Европа: Моќта на различноста (ко-финансиран од програмата Креативна Европа на Европската Унија).",Фикција,Елој Морено,Антолог,2022.0,272.0,400 Денари,antolog
Standing in the Shadows,"The final novel in the bestselling Alan Banks crime series - and a NUMBER ONE PAPERBACK BESTSELLER (January 2024) - by the master of the police procedural. 'The best mystery-procedural series on the market. Try one and tell me I'm wrong' STEPHEN KING Late November, 1980. Student Nick Hartley returns from a lecture to find his house full of police officers. As he discovers that his ex-girlfriend has been found murdered in a nearby park, and her new boyfriend is missing, he realises two things in quick succession: he is undoubtedly a suspect as he has no convincing alibi, and he has own suspicions as to what might have happened . . . Late November 2019. An dig near Scotch Corner unearths a skeleton that turns out to be far more recent than the Roman remains the archaeologist is looking for. Detective Superintendent Alan Banks and his team are called in and, as an investigation into the find begins, the past and the present meet with devastating consequences. 'The master of the police procedural' MAIL ON SUNDAY","Crime & Thriller , Thriller",Peter Robinson,Hodder & Stoughton,2024.0,359.0,699 Денари,akademska kniga
The Girl in the Eagle's Talons,"A pulse-pounding new DRAGON TATTOO thriller ""Lisbeth Salander is back - and maybe better than ever . . . Remarkable"" LEE CHILD ""Fresh, fearless, faithful and original . . . I loved it"" CHRIS WHITAKER The untapped natural resources of Sweden's far north are","Crime & Thriller , Thriller",Sarah Death (translator),Quercus Publishing,2024.0,,799 Денари,akademska kniga
Resurrection Walk,"Defense attorney Mickey Haller is back, taking the long shot cases, where the chances of winning are one in a million. He agrees to represent a woman in prison for killing her husband, a sheriff's deputy. Despite her conviction four years earlier, she stil","Crime & Thriller , Thriller",Michael Connelly,Orion Publishing Group,2024.0,,799 Денари,akademska kniga
The Midnight Game,"Rules of The Midnight Game: Do not turn on the lights. Do not go to sleep. Do not leave the building. When a group who have met on a creepy Deddit thread decide to meet in real life, they only have one plan in mind: they are going to summon the Midnight Man. And once you start the Midnight Game, you must finish it - there's no other way out! Six strangers. One night. But how many survivors? From thriller-horror YA queen, Cynthia Murphy, author of Last One To Die and TIKTOK MADE ME BUY IT Win Lose Kill Die, comes her third nail-biting novel about CreepyPasta. Perfect for fans of Karen McManus, Kathryn Foxfield and slasher horror movies like Candyman. With six-character points-of-view, Deddit threads, newspaper articles and DMs, this pacy thriller will keep you awake and guessing until the very last page. PRAISE FOR MIDNIGHT GAME ""If Karen McManus and Stephen King wrote a book together, this would be it!"" - Instagram review ""The CEO of plot twists"" - Praise from BookTok community ""Terrifying and mesmerising"" - Rosie Talbot, author of Sixteen Souls ""So deliciously creepy and atmospheric!"" - Amy McCaw, author of Mina and the Undead series","Crime & Thriller , Thriller",Cynthia Murphy,Scholastic Inc.,2023.0,400.0,699 Денари,akademska kniga
City on Fire,"""One of America's greatest storytellers."" - Stephen King ""No one fuses action with emotion like Winslow."" - The Times The new thriller from the #1 international bestseller - the start of a brand new trilogy","Crime & Thriller , Thriller",Don Winslow,HarperCollins Publishers Limited,2023.0,384.0,699 Денари,akademska kniga
Killer Instinct,"Cold cases get hot in this unputdownable mystery from Jennifer Lynn Barnes, no.1 New York Times bestselling author of The Inheritance Games series. Perfect for fans of A Good Girl's Guide to Murder. Cassie Hobbes has a gift for profiling people. Her talent","Crime & Thriller , Thriller",Jennifer Lynn Barnes,Quercus,2023.0,,799 Денари,akademska kniga
Murder for All Seasons [Special Edition],"Agatha Christie's four seasonal short story collections presented in a sumptuous special edition boxset. Forty-eight unforgettable stories from the Queen of Crime to take you through the seasons, from a crackling winter fireside to the beating sun of high summer. Published across her long career and featuring all her most famous characters - Hercule Poirot, Miss Marple, Tommy and Tuppence and more - these beautiful hardbacks are both a treat for any fan and a perfect entry point for anyone new to her writing. There is something for everyone.","Crime & Thriller , Thriller",Agatha Christie,HarperCollins Publishers Limited,2023.0,1600.0,3.599 Денари,akademska kniga
No Plan B,"""The gripping new Jack Reacher thriller from the #1 New York Times bestselling authors Lee Child and Andrew Child. The plan: It's coming Fall 2022. No Plan B. In Gerrardsville, Colorado, two witnesses to the same tragedy give two different accounts. One guy sees a woman throw herself in front of a bus in what authorities will call a suicide. The other witness is Jack Reacher. And he sees what actually happened: A man in a gray hoodie and jeans, moving like a shadow, pushed the victim to her death-before swiftly grabbing the dead woman's purse and strolling away. Reacher follows the killer on foot, not knowing that he is part of something much bigger and far-reaching . . . a secret conspiracy with many moving parts, with powerful people on the take, all involved in an undertaking that leaves no room for error. If any step is compromised, the threat will have to be quickly and quietly and permanently removed. Because when the threat is Reacher, there is No Plan B...""--","Crime & Thriller , Thriller",Lee Child,Tbs-Penguin Random House Wholesale,2023.0,432.0,699 Денари,akademska kniga
Alex Cross Must Die,"The thirty-first instalment in James Patterson's globally bestselling series. When an American Airlines plane explodes in the sky, detectives Alex Cross and John Sampson are first on the scene. They don't hear the gunfire. At first. It soon becomes clear that the plane was taken down by a rare, stolen machine gun. The list of people who could operate the weapon is short. And time runs even shorter. But this isn't the only case the pair must solve. They're also tracking a serial killer who's ambushing young men in what the media are calling the 'Dead Hours' murders. With two killers and two different motives, Cross and Sampson are in a deadly race against time . . . ________________________________ PRAISE FOR THE ALEX CROSS SERIES 'Patterson never, and I mean never, disappoints' USA Today 'Behind all the noise and the numbers, we shouldn't forget that no one gets this big without amazing natural storytelling talent - which is what Jim has, in spades. The Alex Cross series proves it' Lee Child 'Alex Cross is a legend' Harlan Coben 'Alex Cross ... only gets better and better' Lisa Scottoline 'I wrote, ""Along Came a Spider is the best thriller I've come across in many a year. It deserves to be this season's no. 1 bestseller and should instantly make James Patterson a household name."" A household name, indeed' Nelson DeMille '[Alex Cross] has become one of the greatest fictional detectives of all time, a character for the ages' Douglas Preston and Lincoln Child","Crime & Thriller , Thriller",James Patterson,"PENGUIN RANDOM HOUSE , LLC",2023.0,400.0,1.199 Денари,akademska kniga
Mister Magic,"Who is Mister Magic? Former child stars reunite to uncover the tragedy that ended their show - and discover the secret of its enigmatic host - in this dark supernatural thriller from the No. 1 New York Times bestselling author of Hide. Thirty years after a tragic accident shut down production of the classic children's program Mister Magic, the five surviving cast members have done their best to move on. But just as generations of cultishly devoted fans still cling to the lessons they learned from the show, the cast, known as the Circle of Friends, have spent their lives searching for the happiness they felt while they were on it. The friendship. The feeling of belonging. And the protection of Mister Magic. But with no surviving video of the show, no evidence of who directed or produced it, and no records of who - or what - the beloved host actually was, memories are all the former circle of friends have. Then a twist of fate brings the castmates back together at the remote desert filming compound that feels like it's been waiting for them all this time. Even though they haven't seen each other for years, they somehow understand one another better than anyone has since. After all, they're the only ones who hold the secret of that circle, the mystery of the magic man in his infinitely black cape, and, maybe, the answers to what really happened on that deadly last day. But as the Circle of Friends reclaim parts of their past, they begin to wonder: Are they here by choice, or have they been lured into a trap? Because magic never forgets the taste of your friendship. . . Kiersten White is a NYT bestselling author as of August 2022.","Crime & Thriller , Thriller",Kiersten White,Random House Publishing Group,2023.0,304.0,1.099 Денари,akademska kniga
The Couples Trip,"**Swedish Academy of Crime Writers' Award Best Debut of the Year** **Shortlisted for the Crimetime Award 2022** Two couples set out together on a hiking trip that goes terrifyingly wrong in this addictive psychological thriller for fans of Ruth Ware and Lucy Foley. Anna, Henrik and Milena's annual hiking trip is just around the corner. This year, however, Anna and Henrik have a hard time saying no when Milena asks if her boyfriend, Jacob, can tag along. The hike soon spirals into mayhem when the three friends come to realize that taking Jacob was a decision that could change their lives forever. From the austere mountaintops of northern Sweden, this highly anticipated thriller traverses through the unexplored wilderness--here, there's nowhere to run and nowhere to hide.","Crime & Thriller , Thriller",Ulf Kvensler,Harlequin Enterprises ULC,2023.0,400.0,1.199 Денари,akademska kniga
Penance,"One of Granta's Best Young British Novelists 2023 ""Eliza Clark's writing embraces the socially unacceptable and wryly explores themes of gender, power, and violence.""--Granta's Best of Young British Novelists 2023 ""Chilling, clever, and unputdownable.""--Guardian From the author of the cult hit Boy Parts comes a chilling, brilliantly told story of murder among a group of teenage girls--a powerful and disturbing novel as piercing in its portrait of young women as Emma Cline's The Girls. On a beach in a run-down seaside town on the Yorkshire coastline, sixteen-year-old Joan Wilson is set on fire by three other schoolgirls. Nearly a decade after the horrifying murder, journalist Alec Z. Carelli has written the definitive account of the crime, drawn from hours of interviews with witnesses and family members, painstaking historical research, and most notably, correspondence with the killers themselves. The result is a riveting snapshot of lives rocked by tragedy, and a town left in turmoil. But how much of the story is true? Compulsively readable, provocative, and disturbing, Penance is a cleverly nuanced, unflinching exploration of gender, class, and power that raises troubling questions about the media and our obsession with true crime while bringing to light the depraved side of human nature and our darkest proclivities.","Crime & Thriller , Thriller",Eliza Clark,HarperCollinsPublishers,2023.0,327.0,1.699 Денари,akademska kniga
The Midnight Game,"Rules of The Midnight Game: Do not turn on the lights. Do not go to sleep. Do not leave the building. When a group who have met on a creepy Deddit thread decide to meet in real life, they only have one plan in mind: they are going to summon the Midnight Man. And once you start the Midnight Game, you must finish it - there's no other way out! Six strangers. One night. But how many survivors? From thriller-horror YA queen, Cynthia Murphy, author of Last One To Die and TIKTOK MADE ME BUY IT Win Lose Kill Die, comes her third nail-biting novel about CreepyPasta. Perfect for fans of Karen McManus, Kathryn Foxfield and slasher horror movies like Candyman. With six-character points-of-view, Deddit threads, newspaper articles and DMs, this pacy thriller will keep you awake and guessing until the very last page. PRAISE FOR MIDNIGHT GAME ""If Karen McManus and Stephen King wrote a book together, this would be it!"" - Instagram review ""The CEO of plot twists"" - Praise from BookTok community ""Terrifying and mesmerising"" - Rosie Talbot, author of Sixteen Souls ""So deliciously creepy and atmospheric!"" - Amy McCaw, author of Mina and the Undead series","Crime & Thriller , Thriller",Cynthia Murphy,Scholastic Inc.,2023.0,400.0,699 Денари,akademska kniga
Verity : The thriller that will capture your heart and blow your mind,"OVER 3 MILLION COPIES SOLD - THE NO.1 BESTSELLER AND TIKTOK SENSATION, FROM THE AUTHOR OF IT ENDS WITH US Are you ready to stay up all night? Rebecca meets Gone Girl in this shocking, unpredictable thriller with a twist that will leave you reeling . . . Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish. Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and outlines, hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of the night their family was forever altered. Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents would devastate the already-grieving father. But as Lowen's feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife's words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue loving her . . . If you loved Verity, don't miss the special collector's edition golden hardback coming this autumn, including an exclusive never-before-seen final chapter. Available to order now. 500,000 READERS HAVE ALREADY GIVEN VERITY FIVE STARS 'One of the best thrillers I have ever read' ***** 'Powerful, mind-blowing and emotional' ***** 'The plot twists and that ending came out of nowhere' ***** 'There are no words. Bravo' ***** 'Dark, creepy, and one hundred per cent original' ***** 'I NEEDED to know how this was going to end' ***** 'Left me completely speechless' ***** VERITY was a No.1 Kindle bestseller on 18.03.22","Crime & Thriller , Thriller",Colleen Hoover,"Little, Brown Book Group",2022.0,336.0,799 Денари,akademska kniga
Anthem,"Epic... Apart from being the Emmy award-winning creator of the superb television series Fargo, the American author Noah Hawley is a talented deviser of high-class literary thrillers... It's a fabulous worst-of-all-fears scenario... Hawley attacks his narrative from a broad, TV drama-ish viewpoint, assembling a large, intercutting cast of characters' - The Sunday Times 'Noah Hawley taps into our existential anxiety- and transforms it into a hefty page-turner that's equal parts horrific, catastrophic and, at times, strangely entertaining' - New York Times 'Terrifyingly good... Hawley is such an experienced storyteller...this book is nothing if not art imitating life' - Irish Sunday Independent From the visionary bestselling author of Before the Fall and The Good Father, an epic literary thriller set where America is right now . . . and the world will be tomorrow. America spins into chaos as the last remnants of political consensus break apart. Against a background of environmental disaster and opioid addiction, debate descends into violence and militias roam the streets - while teenagers across the world seem driven to self-destruction, communicating by memes only they can understand. Yet the markets still tick up and the super-rich, like Ty Oliver, fly above the flames in private jets. After the death of his daughter, Ty dispatches his son Simon to an Anxiety Abatement Center. There he encounters another boy called the Prophet. And the Prophet wants him to join a quest. Before long, Simon is on the road with a crew of new comrades on a rescue mission as urgent as it is enigmatic. Suddenly heroes of their own story, they are crossing the country in search of a young woman held in a billionaire's retreat - and, just possibly, the only hope of escape from the apocalypse bequeathed to them by their parents' generation. Noah Hawley's epic literary thriller, full of unforgettably vivid characters, finds unquenchable lights in the darkest corners. Uncannily topical and yet as timeless as a Grimm's fairy tale, this is a novel of excoriating power, raw emotion and narrative verve, confirming Hawley as one of the most essential writers of our time. 'Hawley makes this sing by combining the social commentary of a Margaret Atwood novel with the horrors of a Stephen King book' - Publishers Weekly * * * PRAISE FOR NOAH HAWLEY: 'He has an intuitive understanding of human behaviour and an instinctive grasp of plot that make him a master storyteller' Guardian 'An addictive thriller whose thematic richness is reminiscent of Franzen' The Sunday Times 'Hawley's sublime prose glows on every page' Daily Mail 'A thriller of masterful precision' Independent 'High-class entertainment' Mail on Sunday 'One of the year's best suspense novels' New York Times","Crime & Thriller , Thriller",Noah Hawley,Hodder & Stoughton,2022.0,448.0,1.199 Денари,akademska kniga
The Lonely Ones,"One of the best Nordic Noir writers' - Guardian A trip behind the Iron Curtain would change their lives forever . . . It begins in 1969. Six young people arrive in Uppsala, Sweden. Different circumstances push the three young couples together and, over the course of a few years, they become friends. But a summer trip through Eastern Europe changes everything, and when their time at Uppsala University is over it also signals the end of something else. Years later, a lecturer at Lund University is found dead at the bottom of a cliff in the woods close to Kymlinge. And chillingly, it is the very same spot where one of the Uppsala students died thirty-five years before. Detective Inspector Gunnar Barbarotti takes on this ominous case of history repeating itself, and is forced to confront an increasingly grave reality. The Lonely Ones is the fourth novel of Hakan Nesser's quintet about Inspector Gunnar Barbarotti.","Crime & Thriller , Thriller",Hakan Nesser,Pan Macmillan,2022.0,608.0,699 Денари,akademska kniga
Picture You Dead,"The eighteenth Detective Superintendent Roy Grace novel from the highly acclaimed number one bestselling author, Peter James.","Crime & Thriller , Thriller",Peter James,Pan Macmillan,2022.0,464.0,1.099 Денари,akademska kniga
Mercy,"Mercy is the gripping follow up to Long Road to Mercy, A Minute to Midnight and Daylight featuring Special Agent Atlee Pine from one of the world's most favourite thriller writers, David Baldacci. THE HUNT IS FINALLY OVER. FBI agent Atlee Pine is at the end of her long journey to discover what happened to her twin sister, Mercy, who was abducted when the girls were just six years old - an incident which destroyed her family and left Atlee physically and mentally scarred. She knew her sister and parents were out there somewhere. And she had to find them. Dead or alive. Atlee and her assistant, Carol Blum, discover the truth. But the truth hurts. And hurt makes you tough. So how tough do you have to be to forgive? As they uncover a shocking trail of lies, greed, fear and revenge, they must face one final challenge. A challenge more deadly and dangerous than they could ever have imagined.","Crime & Thriller , Thriller",David Baldacci,Pan Macmillan,2022.0,576.0,499 Денари,akademska kniga
State of Terror,"A Sunday Times and New York Times Bestseller! 'A rip-roaring, brilliant page-turner, but it's also timely, cheeky, important and wonderfully, courageously provocative. What great fun!' - James Patterson 'Smart and fast and twisty, State of Terror is a dazzlingly unpredictable political thriller. I loved it' - Kathy Reichs State of Terror is a compelling and critically acclaimed international political thriller co-written by Hillary Rodham Clinton, the 67th secretary of state, and Louise Penny, a multiple award-winning #1 New York Times bestselling novelist. Take a ringside seat in the high-stakes world of international politics . . . After a tumultuous period in American politics, a new administration has just been sworn in. Secretary of State, Ellen Adams, is determined to do her duty for her country. But she is about to face a horrifying international threat . . . A young foreign service officer has received a baffling text from an anonymous source. Too late, she realizes it was a hastily coded warning. Then a series of bus bombs devastate Europe, heralding the rise of a new rogue terrorist organization who will stop at nothing in their efforts to develop their own nuclear arsenal. As Ellen unravels the damaging effects of the former presidency on international politics, she must also contemplate the unthinkable: that the last president of the United States was more than just an ineffectual leader. Was he also a traitor to his country? ________________________ Praise for State of Terror: 'Clinton and Penny are each a force on their own - put together they are unstoppable' - Karin Slaughter 'This is as close as you'll get to being in the White House Situation Room with a secretary of state.' - The Times 'Fast-paced and packed with insider knowledge.' - Daily Mail 'The perfect political thriller . . . a glimpse into the world of our most powerful politicians.' - Ann Cleeves","Crime & Thriller , Thriller",Hillary Rodham Clinton,Pan Macmillan,2022.0,512.0,699 Денари,akademska kniga
The Accomplice,"A gripping psychological thriller on the bonds of friendship and the cost of breaking them, from the New York Times bestselling author of The Passenger and the Spellman Files. Everyone has the same questions about best friends Owen and Luna: What binds the","Crime & Thriller , Thriller",Lisa Lutz,Titan Books Ltd,2022.0,448.0,699 Денари,akademska kniga
Dark Objects,"Count to three,' her mother told her, the last words she would ever speak. An Impossible Crime Scene A wealthy woman is found brutally murdered in the locked fortress of her London mansion. Surrounding her are four mysterious objects, including a book on f","Crime & Thriller , Thriller",Simon Toyne,HarperCollins Publishers,2022.0,416.0,899 Денари,akademska kniga
Portrait of an Unknown Woman,"In a spellbinding new masterpiece by #1 New York Times-bestselling author Daniel Silva, Gabriel Allon undertakes a high-stakes search for the greatest art forger who ever lived Legendary spy and art restorer Gabriel Allon has at long last severed ties with","Crime & Thriller , Thriller",Daniel Silva,HarperCollins Publishers,2022.0,448.0,1.499 Денари,akademska kniga
My Husband's Murder,"So compulsive, chillingly suspenseful' LOUISE O'NEILL 'Brilliant - so atmospheric' DEBBIE HOWELLS 'Kept me gripped until the very last page' LINDSEY KELK Previously published as The Murder of Graham Catton It's time to hear the truth... Ten years ago, Hann","Crime & Thriller , Thriller",Katie Lowe,HarperCollins Publishers,2022.0,448.0,699 Денари,akademska kniga
Insomnia,"In the dead of night, madness lies... Emma can't sleep. CHECK THE WINDOWS It's been like this since her big 4-0 started getting closer. LOCK THE DOORS Her mother stopped sleeping just before her 40th birthday too. She went mad and did the unthinkable becau","Crime & Thriller , Thriller",Sarah Pinborough,HarperCollins Publishers,2022.0,352.0,1.099 Денари,akademska kniga
All For You,"A galloping pulse-pounder' Heat '[A] gripping thriller . . . with perfectly observed emotions and red herrings that will boggle the mind' Woman & Home 'A full-blown, brilliantly plotted and written novel, with a clarity and originality that is wonderfully","Crime & Thriller , Thriller",Louise Jensen,HarperCollins Publishers,2022.0,416.0,699 Денари,akademska kniga
The Judas Tree,"Childhood betrayal casts a long shadow... From the author of The Haven and The Cliff House, this is a devastating thriller set in a Cornish boarding school. 'A gripping page-turner' Tammy Cohen, author of The Wedding Party At a bleak boys' boarding school","Crime & Thriller , Thriller",Amanda Jennings,HarperCollins Publishers,2022.0,352.0,699 Денари,akademska kniga
The Girl in the Castle,Thrill seekers will be absorbed by this exciting story' Kirkus 'Nobody does it better.' Jeffery Deaver 'James Patterson is The Boss. End of.' Ian Rankin ____________________________ My Name is Hannah Dory and I need you to believe me Now: Hannah is brought,"Crime & Thriller , Thriller",James Patterson,Cornerstone,2022.0,368.0,699 Денари,akademska kniga
Never,"The Sunday Times Thriller of the Month Expertly researched and visionary in scale, international number one bestseller Ken Follett's Never is more than a thriller. It imagines a scenario we all hope never comes true, one which will keep you transfixed until the final page . . . 'Stunning . . . one of the most compelling reads of the year' - Daily Express A stolen US army drone. A shrinking oasis in the Sahara Desert. A secret stash of deadly chemicals. Each is a threat to global stability. Each can be overcome with only the highest levels of diplomacy. But when those in charge disagree and refuse to back down, an international chain reaction kicks off with potentially catastrophic consequences: a world edging closer to war . . . Now three people must work with the utmost skill to stop that from happening: A spy working undercover with jihadis. A brilliant Chinese spymaster. A US president beleaguered by a populist rival for the next election. The only question is - in a game of brinksmanship, can the inevitable ever be stopped? 'Bold in scale and meticulously researched' - Sunday Times 'Probably his best yet' - Stephen King 'Urgent and fiercely compelling' - The Washington Post More than 175 million copies sold worldwide. Published in over eighty territories and thirty-seven languages. The international no.1 bestselling phenomenon returns.","Crime & Thriller , Thriller",Ken Follett,Pan Macmillan,2022.0,832.0,599 Денари,akademska kniga
Date with Death,"Meet two sleuths from a sleepy Yorkshire village as they investigate murders and discover the secrets behind the twitching curtains. Date with Death is the first cosy crime novel in Julia Chapman's Dales Detective series, perfect for fans of Richard Osman's The Thursday Murder Club and M. C. Beaton. Samson O'Brien has been dismissed from the police force, and returns to his hometown of Bruncliffe in the Yorkshire Dales to set up the Dales Detective Agency. However, the villagers aren't that welcoming to a man they see as trouble. Delilah Metcalfe is struggling to keep her business, the Dales Dating Agency, afloat as well as trying to control her wayward dog, Tolpuddle, when Samson's first case - a supposed suicide - takes an unexpected turn, and a trail of deaths lead back to the door of Delilah's agency. With suspicion hanging over someone they both care for, the two feuding neighbours soon realize that they need to work together to solve the mystery of the dating deaths. But working together is easier said than done . . . Full of wit, warmth and characters you'll care about, continue the murder mystery series with Date with Malice. 'A classic whodunit set in the spectacular landscape of the Yorkshire Dales . . . A satisfying read riddled with dry Yorkshire humour (and dry-stone walls)' - Cath Staincliffe, author of the Scott & Bailey series.","Crime & Thriller , Thriller",Julia Chapman,Pan Macmillan,2022.0,400.0,699 Денари,akademska kniga
Dream Town,"Killer twists. Heroes to believe in. Trust Baldacci. Private Investigator and WWII veteran, Aloysius Archer, returns to solve a new case in Hollywood in this riveting thriller from international number 1 bestselling author, David Baldacci. All that glitters . . . 1952, Los Angeles. It is New Year's Eve and PI Aloysius Archer is dining with his friend and rising Hollywood actress Liberty Callahan when they're approached by Eleanor Lamb, a screenwriter who would like to hire him, as she suspects someone is trying to kill her. Murder and mystery A visit to Lamb's Malibu residence leaves Archer knocked unconscious after he stumbles over a dead body in the hallway; and Lamb seems to have vanished. With the police now involved in the case, a close friend and colleague of Lamb's employs Archer to find out what's happened to the screenwriter. The City of Angels - or somewhere much, much darker? Archer's investigation takes him from the rich, glamorous and glitzy LA to the seedy, dark side of the city, and onward to the gambling mecca of Las Vegas, just now hitting its stride as a hot spot for celebrities and a money-making machine for the mob. In a place where cops and crooks work hand in hand, Archer will cross paths with Hollywood stars, politicians and notorious criminals. He'll almost die several times, and he'll discover bodies and secrets from the canyons and beaches of Malibu and the luxurious mansions of Bel Air and Beverly Hills to the narcotics clubs of Chinatown. With the help of Liberty and his PI partner Willie Dash, Archer will risk everything and leave no stone unturned in finding the missing Eleanor Lamb, and in bringing to justice killers who would love nothing better than to plant Archer six feet under.","Crime & Thriller , Thriller",David Baldacci,Pan Macmillan,2022.0,576.0,499 Денари,akademska kniga
Take Your Breath Away,A missing woman. A husband suspected. The truth will ... Take Your Breath Away Linwood Barclay is... 'A suspense master' Stephen King 'In a class of his own' T.M. Logan 'One of the finest thriller writers in the world' Mark Billingham It's always the husba,"Crime & Thriller , Thriller",Linwood Barclay,HarperCollins Publishers,2022.0,464.0,699 Денари,akademska kniga
Such a Good Mother,"SOME THINGS ARE TOO PERFECT TO BE TRUE... 'A sharp, compelling take on modern motherhood' HEAT 'A nail-biting, dark thriller' PLATINUM 'Fiendishly entertaining... A suspenseful and unsettling cautionary tale' PUBLISHERS WEEKLY *** Rose O'Connell aspires to","Crime & Thriller , Thriller",Helen Monks Takhar,HarperCollins Publishers,2022.0,416.0,1.099 Денари,akademska kniga
Sweet Revenge,Two gripping novellas from the No.1 international bestselling author Women Without Mercy Ingrid gave up her career to support her husband. Now he's having an affair. Birgitta is avoiding the doctor. No one can see the bruises her husband leaves. Victoria l,"Crime & Thriller , Thriller",Camilla Lackberg,HarperCollins Publishers,2022.0,240.0,699 Денари,akademska kniga
