Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена,Извор
Сончевото момче Ил,"Долгобрадиот старец Арно, секое утро низ прозорецот на својата мала колиба ги набљудуваше неговите бескрајни полиња насадени со сончогледи. Им се восхитуваше на убавината и секогаш помислуваше дека тие се златен килим кој природата го ткаеше со семките што тој секоја пролет како сончева прашина ги расфрлаше со помош на ветерот.",Сликовници,Катерина Данаилова,Арс Ламина,2022.0,29.0,120 Денари,literatura
Волшебниот скејтборд,"""Ова е првата книга од Волшебната серија. Булент сака да уcхествува во натпреварот со скејтборди, но, за јал, тој нема скејтборд. А и кога би имал, тоа не би сменило нешто, бидејќи Булент не умее да вози скејтборд… Возбудлива авантура на детето Булент, cхијшто јживот се менува кога ќе пронајде волшебен скејтборд!""",Романи за деца,Фатих Ердоган,Прозарт Медиа,2021.0,20.0,300 Денари,literatura
Бунтот на бројките,,Сликовници,Јована Матевска Атанасова,Арс Ламина,2023.0,37.0,250 Денари,literatura
Коњчето од рингишпилот,"„Коњчето од рингишпилот“ е сликовница за авантурата на едно дрвено коњче од рингишпилот на крајот од градот. Оживувајќи го коњчето со класична постапка на персонификација, стиховите на Јован Стрезовски од него прават лирски херој со кој децата лесно ќе се идентификуваат и сигурно ќе го засакаат. Илустрациите на Орце Нинески ù даваат впечатлив визуелен лик на оваа ноќна авантура кога коњчето бега од рингишпилот, се прошетува низ градот и наутро се враќа на рингишпилот да ги чека децата. „Тајниот“ соновен живот на омилените детски нешта, меѓу кои е и дрвеното коњче, придонесува за емоционалниот развој на малите големи читатели. „Коњчето од рингишпилот“ е навраќање на старите мајстори на литературата за деца и нивно претставување пред најмладите во целосно нов и свеж лик.",Сликовници,Јован Стрезовски,Арс Ламина,2022.0,24.0,220 Денари,literatura
Сет книгички од текстил 1/6,"Сет со 6 книгички од текстил. Наменети за најмалите, за полесно совладување на основите од темите: форми, овошје, зеленчук, животни, возила и бројки. Димензии: 185×150 mm, 6 текстилни книгички во картонска кутија.",Сликовници,,Топер,2023.0,,350 Денари,literatura
Но и јас,"Лу Бертињак има 13 години, коефициент на интелигенција 160 и способност внимателно да ги набљудува луѓето. Но нејзината семејна ситуација е многу тешка. Мајка ѝ со години страда од депресија и не ја напушта куќата, а татко ѝ поминува денови плачејќи во бањата. Светот на Лу ќе се промени кога на училиште ќе добие задача да напише есеј за бездомни тинејџери. Запознавајќи ги бездомниците во Париз, ќе ја сретне Но. Меѓу двете девојки се раѓа искрено пријателство. Не можејќи да го поднесе фактот дека Но нема дом и семејство, Лу ги убедува своите безволни родители да дозволат нејзината пријателка да остане со нив. Дури, ќе се обиде да најде дом за Но, меѓутоа нејзините желби сè повеќе ќе се судираат со суровата реалност. Според оваа книга е снимен и истоимениот филм од 2010 година.",Романи за деца,Делфин Де Виган,Антолог,2021.0,300.0,300 Денари,literatura
Фудбалски сон,"Ова е книга за фудбалот во која при читањето ќе уживаат дури и оние што не сакаат спорт. Се чини невозможно, но не е. Фудбалерите Рахман, Тигани и Хенри имаат талент, што значи некаква шанса да избегаат од големата сиромаштија во нивното село во Африка. Нивниот тренер има контакти во фудбалски клуб во градот и ќе ангажира скаут да дојде и да види колку вешто тие можат да ја шутираат и водат рачно изработената топка по прашината. Конечно, кога тие тројца ќе имаат шанса да заиграат на вистински фудбалски терен во градот, забавата завршува. Тренинзите се исцрпувачки, игрите напорни, а забранетите задоволства на градот примамливи. Наскоро Хенри и Тигани ќе мораат да се вратат дома, а само Рахман ќе ја има потребната сила на карактерот за да се пробие. По трансферот во Холандија, кога Рахман ќе се врати во селото, носејќи кул патики и нови алишта, ќе сфати дека никој повеќе не го гледа како Рахман туку се фокусираат на неговите пари и неговиот успех.",Романи и раскази за млади,Линеке Дајкзул,Бата Прес,2023.0,301.0,450 Денари,literatura
Превез,Makedonski avtor .,Романи и раскази за млади,Иван Стојановски,Современост,2022.0,223.0,300 Денари,literatura
Исидора Мун ја запознава забовилата,"""Исидора Мун е посебна бидејќи е поинаква. Мајка ù е самовила, татко ù е вампир, а таа е по малку од двете. На Исидора ù се ниша запcхе! Вампирите ги врамуваат своите први вампирски запcхиња, но самовилите ги оставаат под перниcа за забовилата. Исидора не моје да одлуcхи што ќе прави со своето запcхе, до моментот кога една веcхер запознава волшебна глувcхиcа по име Милиcхка. Со помош на Милиcхка, Исидора ќе создаде нова традиcија. Традиcија што ќе биде cелосно уникатна, исто како неа!""",Романи за деца,Хариет Мункастер,Арс Ламина,0.0,128.0,245 Денари,literatura
Бушава азбука (мек повез),"Поминаа повеќе од 35 години откако беше создадена култната ТВ-серија за деца, а по неа и сликовницата „Бушава азбука“ на Горан Стефановски, со илустрации на Душан Петричиќ. Со „бушавите букви“ растеа генерации и генерации, учејќи го македонскиот јазик и скапоцените подзаборавени, архаични зборчиња кои се одраз на неповторливата македонска книжевност, култура и традиција. Конечно, во 2022 година, го доживуваме резиданието на оваа вредна книга, од која сега можат да читаат денешните мали „бушави глави“ и растат денешните, нови генерации, негувајќи го македонското културно наследство.",Сликовници,"Горан Стефановски, Душан Петричиќ",Чудна Шума,2023.0,64.0,485 Денари,literatura
Зелда и Фе и Болниот змеј,"Во едно малечко кралство на Северното Море си живееше една принцеза по име Агнес, но сите во кралството ја викаа Фе. Тоа беше така бидејќи кога била сосема мала, можеби и помала, Фе скришно го зела биберот од кујната и се скрила под масата каде што почнала да го јаде.",Сликовници,Катерина Трајановска,Арс Ламина,2023.0,23.0,168 Денари,literatura
Двојниците од темнината,"По навидум случајна средба со една чудна старица, Борис од неа добива клуч и мошне мала куќичка за кукли. Заедно со своите другари и другарки ја отвораат куќичката и пред нив се прикажува нешто неверојатно: внатре се наоѓаат фигури што личат на нив. Некоја мрачна сила намислила да ги замени нашите јунаци со свои послушни двојници! Борис и друштвото почнуваат борба со злите суштества, а притоа добиваат помош и од една сенка. Ова е возбудлива и морничава авантура на тринаесетгодишни тинејџери кои ќе западнат во средиштето на чудни случувања, на границата помеѓу овој свет и некоја друга димензија. Приказна за силата на пријателството, за важноста на заедништвото и за незаменливоста на искреното другарување.",Романи за деца,Мореа Баниќевиќ,Антолог,2022.0,224.0,300 Денари,literatura
Ута од планините,"Ова е приказната на едно храбро девојче со големи соништа да се искачи на највисоките врвови на светот. Приказната на Фљутура, која со своите волшебни очи како две ѕвездички го осветлуваше светот околу неа. Со промената на годишните времиња, таа облекуваше фустанче во боите на тоа годишно време и секогаш со насмевка ги поздравуваше бескрајните убавини на природата. Нејзиното име значеше „пеперутка“, но нејзиниот сакан дедо ја викаше Ута и таа го задржа тоа име до денес. Со него стана позната низ целиот свет. Во мај 2017 г. Ута стана првата жена од албанска националност што се искачи на Монт Еверест, на 8.848 метри. До 2020 година таа искачи пет врва над 8.000 метри и нејзината цел е да продолжи да се искачува на преостанатите 14 врва над 8.000 метри и да шири позитивна енергија на луѓето од целиот свет.",Сликовници,Тефта Кељменди,Чудна Шума,2021.0,44.0,400 Денари,literatura
Медо Чедо помага за Божик,"Медо Чедо дојде да му помогне на Дедо Мраз да се подготви за еден многу посебен ден! Празнична забава со дебели лизгачи што се влечат и туркаат. Интерактивни сликовници од серијалот „За вешти прстиња“ од Бенџи Дејвис, со механизми за развој на моториката кај децата. Прозорчиња што излегуваат со помош на тркалца и други елементи што се извлекуваат и вовлекуваат и се вистинска забава за целото семејство. Книгата има и едноставен римуван текст со впечатливи, прекрасни цртежи. Исклучително популарни книги во светот и еден од најпродаваните серијали, во кои најмногу ќе се пронајдат малечките од 1 до 3 години, но се разбира ги охрабруваме и помалите дечиња да почнат да си играат со оваа одлична сликовница и да ја развијат моториката. Изработени се од високо квалитетен цврст картон со повеќе слоеви и дебелина на страниците од 4 милиметри. Има 10 вакви страници со вградени подвижни механизми и страниците се со големина 18 х 18 сантиметри. Во секоја сликовница од серијалот, Медо Чедо има некаква задача. Во оваа сликовница, Медо Чедо ќе се подготвува за Божик и ќе му помага на Дедо Мраз. Ќе ја полни санката со подароци, ќе носи подароци и ќе летаат заедно за подароците навреме да пристигнат кај сите.",Сликовници со тврди страници,Бенџи Дејвис,Бата Прес,2024.0,10.0,499 Денари,literatura
"Стела, Сани и јас","Ти се слуcхило ли некогаш да бараш нешто што не знаеш како изгледа? ЗАМИСЛИ СИ ДЕКА ТИ, Стела и Сани треба да го барате изгубеното суштештво.Тоа е заталкано некаде во оваа сликовниcа.Еве ти мала помош:се плаши од светлината.Знаcхи,тргнувај накај се што свети!",Сликовници,"Бистра Георгиева, Наталија Лукомска",Издавачки центар ТРИ,2021.0,28.0,250 Денари,literatura
Дина и Додо 5: Летување на море,"Решавај и забавувај се со Дина и Додо! Низ вежбанките ќе најдеш многу забавни активности и загатки за решавање – од лавиринти и пронаоѓање разлнични или исти предмети, цртање од точка до точка, боење, до откривање скриени предмети и зборови, активности со броење и собирање и судоку загатки! • За развој на логичките капацитети и способности кај децата • За јакнење на концентрацијата • За поттикнување на детската љубопитност, фантазија и креативност""",Книги со активности,Група автори,Арс Ламина,,24.0,138 Денари,literatura
Боенка Диносауруси,,Боенки и цртанки,,Едука Мак,2024.0,20.0,130 Денари,literatura
Зимски активности,Оваа весела книга со активности ќе го исполни времето на децата со радост и магија,Книги со активности,,Светот на Биби,2023.0,,200 Денари,literatura
Мојата прва библиотека - НА МАСА,Книга 8 „НА МАСА“ е шестата книга во “Црвеното ниво”. Изучени букви: А Н Е М И С Т,Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
Боенка со активности - Велигден со Биби и Боби,Велигденски активности со Биби и Боби на 16 страници.,Боенки и цртанки,,Светот на Биби,,,99 Денари,literatura
Кога Ушко се плаши,"Да се плашиш поради нешто е многу непријатно чувство. Но, тоа не значи дека за него нема лек. Ова книже може да послужи во справувањето со стравот, и тоа преку примерот со зајачето Ушко кое многу се плаши. Ајде да му покажете на Ушко дека вие знаете како да го совладате непосакуваниот страв. Да се плашиш поради нешто е многу непријатно чувство. Но, тоа не значи дека за него нема лек. Ова книже може да послужи во справувањето со стравот, и тоа преку примерот со зајачето Ушко кое многу се плаши. Ајде да му покажете на Ушко дека вие знаете како да го совладате непосакуваниот страв. Да се плашиш поради нешто е многу непријатно чувство. Но, тоа не значи дека за него нема лек. Ова книже може да послужи во справувањето со стравот, и тоа преку примерот со зајачето Ушко кое многу се плаши. Ајде да му покажете на Ушко дека вие знаете како да го совладате непосакуваниот страв. Да се плашиш поради нешто е многу непријатно чувство. Но, тоа не значи дека за него нема лек. Ова книже може да",Сликовници,Христина Стефановска,Арс Ламина,2021.0,44.0,360 Денари,literatura
