Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена,Извор
Сирената со очила,"Атланта живее во светилник на мал остров на крајот на светот. Кога не разговара со Камила, селската учителка, или не ги слуша џез-плочите на татко си, нејзиниот поглед е упатен кон бескрајниот хоризонт на морето. Меѓутоа, еден ден, на Ветровит Камен пристигнува чуден гостин, кој ќе ја поведе во авантура на која можат да ѝ позавидат дури и славните морнари, предци на девојчето… Јунаци во романот на Маќаш Дунајчик се мистериозни птици, духови светски патници и вљубени китоловци.",Романи за деца,Маќаш Дунајчик,Антолог,2022.0,103.0,350 Денари,literatura
Островот на чуварот на бурата,"Фион Бојл потекнува од фамилија на храбри морепловци, луѓе што го носат океанот во своите очи. Но, Фион никако не може да го надмине стравот од отвореното море. Неговата мајка со години му раскажувала приказни за островот Аранмор, необичното место полно со магија, мистериозни случувања и со необични луѓе. Едно лето Фион пристигнува таму за да го помине летниот одмор. Веднаш штом ќе стапне на островот, почнува да забележува некои необјасниви нешта. Чувствува дека островот го набљудува и го следи во авантурите што ги презема. Еднаш во секоја генерација, Аранмор избира нов чувар на бурата за да му ја довери својата моќ и да ја зачува магијата од непријателите. Време е да се избере нов чувар на бурата. За оваа позиција е заинтересиран младиот и амбициозен Бартли Бизли, кој е подготвен да направи речиси сè. Сепак, кого Аранмор ќе избере за оваа моќна но одговорна позиција?",Романи и раскази за млади,Кетрин Дојл,Антолог,2022.0,233.0,350 Денари,literatura
Учиме музика со Софија: Моите први ноти - вежбанка по солфеж 2,,Книги со активности,Даниела Станоевска,Арс Ламина,2021.0,24.0,198 Денари,literatura
Дина и Додо 8: на кампување,"Решавај и забавувај се со Дина и Додо! Низ вежбанките ќе најдеш многу забавни активности и загатки за решавање – од лавиринти и пронаоѓање разлнични или исти предмети, цртање од точка до точка, боење, до откривање скриени предмети и зборови, активности со броење и собирање и судоку загатки! • За развој на логичките капацитети и способности кај децата • За јакнење на концентрацијата • За поттикнување на детската љубопитност, фантазија и креативност""",Книги со активности,,Арс Ламина,2023.0,24.0,138 Денари,literatura
Мојата прва библиотека - ИМА,Книга 2 „ИМА“ е втората книга во “Црвеното ниво”. Изучени букви: А Н Е М И,Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
Велинка,"Velinka e obichna devojka so neobichna zhivotna prikazna. Nejzinata sudbina na surov nachin kje ja odvede po patot na predcite, za da spoznae koja e, od kade poteknuva i kako da chekori vo zhivotot. Strashnata sluchka shto kje ja dozhivee edno popladne vo tivkata shuma Shushumna kje bide patokaz za nejzinoto natamoshno pateshestvie. Dali kje ja stignat kletvite od minatoto? Dali dobroto kje go pobedi zloto? Dali dobrinata mozhe da gi spasi zagubenite dushi, a ljubovta mozhe da gi izlekuva ranite? Patuvanjeto niz ovaa fantastichna prikazna otvora mnogu interesni prashanja na koi odgovorot kje go dadete vie – chitatelite.",Романи за деца,Маја Митровска,Антолог,2023.0,111.0,300 Денари,literatura
Ешковци-морепловци,"После неколку месеци договори и подготовки ежињата и нивните родители отпатуваа на море. И тоа кај нивните блиски роднини од далечните краишта – морските ежови. Уште со целосно нераспакуван багаж, ежињата побрзаа да се фрлат во морското синило. Пливаа како целиот свој живот да го минале во вода. Толку вешто и успешно, што ги восхитија не само своите родители туку и домаќините. Подоцна пак секој од нив се соочи со различни желби и предизвици. А најголемиот проблем беше што прекрасните денови крај морето најбрзо минуваат. Како ќе успеат ежињата и нивните роднини – морските ежови – да го продолжат своето дружење?",Сликовници,Александар Кујунџиски,Антолог,2022.0,16.0,180 Денари,literatura
Продавница за чудни миленичиња,"Во нашиот древен Охрид живеат близнаците Марко и Марика. Тие многу ги сакаат животните и со сите сили се трудат да им помогнат, поради што дури стануваат асистенти на локалниот ветеринар. Но и покрај сето тоа дома не им дозволуваат да чуваат животни. Еднаш во градот се отвора продавница за миленичиња чиј сопственик ја носи со себе малечката внука Теа. Родителите на девојчето се разведуваат и таа многу тешко го доживува тоа. Наскоро децата откриваат дека во продавницата не живеат само обични животни, туку и сосема чудни суштества чија задача е да им помагаат на луѓето. А тоа значи дека можат да и помогнат и на самата Теа. И од тој момент започнуваат авантурите на тројцата другари и нивните помошници од животинскиот свет. Децата се наоѓаат во разни ситуации, им помагаат на луѓе кои им се сосема непознати, патуваат по градот и околината, правејќи откритија со надеж дека нивната најголема желба наскоро ќе се исполни. Неочекувано на чудните животни им се заканува сериозна опасност и само д",Романи за деца,Елена Обухова,Прозарт Медиа,2023.0,268.0,400 Денари,literatura
Низ трепетот на времето,"Оваа збирка поезија зборува за најстарата тема , болка и радост на човештвото - љубовта . Конструктивната моќ на љубовта е клучна за човековото постоење и опстојување . Ако љубовта е самиот живот , таа во нашите срца внесува оптимизам , надеж ,трепет .. Оваа стихозбирка дише во духот на женскиот лирски поетски порив на еден многу длабок и прониклив начин . Влегуваме во внатрешниот емотивен порив , чија основа е инспиративна со коегзистентен простор на личната и интимната лирска струја .",Боенки и цртанки,Соња Дракуловска - Богдановска,КСЦ Полица,0.0,123.0,200 Денари,literatura
Алиса во земјата на огледалото,,Детски класици,Луис Карол,КСЦ Полица,,,200 Денари,literatura
Мојата прва библиотека - ЧАЈ,"Книга 22 „ЧАЈ“ е дваесет и втора книга во комплетот, а дванаесетта од „Жолто ниво”. Изучени букви: А Н Е М И С Т О В Д П Л К Р У Г Б Ј З Ш Ж Ч",Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
Шерлок Холмс за деца: Сојузот на црвенокосите,"""СОЈУЗОТ НА ЦРВЕНОКОСИТЕ има потреба од нов cхлен кој би помагал со извесни мали обврски. Платата за оваа позиcија ќе биде чЕТИРИ фунти неделно. Сите cрвенокоси маји со добро здравје и со навршени дваесет и една година ќе бидат земени предвид. Откако добро платжената работна позиcија на Џабез Вилсон во Сојузот неоcхекувано се затвора, тој го замолува Холмс да дознае зошто. Она што поcхнува како секојдневна истрага се претвора во веcхерна заседа во која Холмс се обидува да спреcхи неверојатна крајба.""",Романи за деца,Артур Конан Дојл,Арс Ламина,2022.0,120.0,129 Денари,literatura
Дневникот на едно шмокле 3: Редно беше!,"шМОКЛЕ – РЕДНО БЕшЕ! Постои традиcија за Нова година човек да си заcрта неколку cели Ѓшто ЃЌе му помогнат да стане подобра личност. Но за Грег Хефли тоа претставува проблем! Тој никако не може да смисли начини како да се подобри, заЃшто смета дека веЃЌе е еден од најдобрите луЃѓе Ѓшто ги познава. МеЃѓутоа татко му не го дели неговото мислење и крои други планови за него. Сака да го заcврсти, а најдобриот начин за тоа е ужасната воена академија! Грег смислува најневозможни начини како да ја избегне омразжената академија, а ви открива и вам дека е време или да биде во форма или... да се подготви за униформа! „Урнебесно!“ Сандеј телеграф „ Голем хит за безволни читатели и за сите кои се во потрага по смеЃшна книга!“ Скул лајбрери xурнал",Романи за деца,Џеф Кини,Издавачки центар ТРИ,2021.0,225.0,360 Денари,literatura
Сонливата месечина,"Сонот е лулка што нè крева во височините. Сонот е остварување на желбите на јавето. Сонот е копнеж да се биде, да се осознае, да се дофати. Додека пловиме во земјата на соништата, нè чуваат ѕвездите. Додека сонуваме, храбро и љубопитно чекориме кон невидливото и посакуваното... кон светот на чудесното!",Сликовници,Новица Наков,Светулка Нова,2024.0,28.0,400 Денари,literatura
Слонот Кире,"Кога се загрижени за нешто, децата не можат да заспијат без нечие присуство. Најчесто тука се родителите, но и братчето или сестричката се од голема помош. Посебно ако се малку повозрасни и ако и самите научиле како да се справат со проблемот. Важно е присуството и чувството на заштитеност.Исплашеното дете да знае дека секогаш има некој покрај себе што ќе му помогне да се соочи со стравот или со грижата и да заспие како бајче.",Сликовници,Маја Мишевска,Арс Ламина,2023.0,20.0,220 Денари,literatura
Магијата на малата сирена,Мали срцевидни книги за најмалите девојчиња!,Сликовници со тврди страници,,Топер,2014.0,8.0,130 Денари,literatura
Продавницата за желби на Алберта,"Во малиот град кај морето се зборува дека Алберта Броканте има посебна продавница. Затоа се повеќе луѓе се туркаат во нејзината продавница и секој има некаква желба. Алберта за секого наоѓа пригоден предмет: една шапка што дава смелост, еден тмурен облак, една голема мелница за бибер или тегови што се надувуваат/ Се до денот кога ќе намине Пепе и ќе постави прашање што ќе смени се.",Сликовници,Мартина Валтер,Илика,2023.0,48.0,550 Денари,literatura
"Светот на Ели: Минатото, сегашноста и бучната, бучната девојка","„Себеприфаќањето е клучот што ја отклучува вратата на нашето вистинско јас"". „Растењето значи прифаќање на уникатните бои на нашите личности и сликање на нашиот сопствен пат во животот“. „Минатото, сегашноста и бучната, бучна девојка“ од Каре н МекКомби е дел од серијата „Светот на сојузниците“ и навлегува во темите на пријателството, самооткривањето и хумористичните предизвици на растењето. Има емоционално влијание додека ги истражува тинејџерските искуства на Али, допирајќи ги комплексноста на пријателството, личниот раст и универзалната потрага по забавата. Приказната резонира преку нејзиното прикажување на искушенијата и неволјите на адолесценцијата, нудејќи пораки на смеа, разбирање и убавината на вистинските врски. Привлечните патувања го одразуваат растот и трајната сила на односите. Овој роман нуди трајна вредност со тоа што дава увид во сложеноста на тинејџерските емоции, пријателствата и важноста на хуморот и леснотијата. Читателите ќе научат за моќта на автентичните пријателства, за хуморот во секојдневниот живот и за убавината на прифаќањето на тинејџерското патување со насмевка. „Минатото, сегашноста и бучната, бучна девојка“ е збогатувачко четиво кое ги поттикнува младите возрасни да се соочат со предизвиците на адолесценцијата со хумор и емпатија. Ликовите на Карен МекКомби во „Минатото, сегашноста и бучната, бучна девојка“ се автентични и способни за раскажување, претставувајќи ги искуствата на тинејџерите. Длабочината и растот на ликовите, заедно со истражувањето на пријателството, личниот развој и хуморот на секојдневниот живот, поттикнуваат емпатија и идентификација кај читателот. Овој роман нуди автентичен приказ за предизвиците и радостите на адолесценцијата и важноста на прифаќањето на забавата и пријателството. „Минатото, сегашноста и бучната, бучна девојка“ од Карен МекКомби е дел од серијата „Светот на сојузниците“ и го следи животот на Али, тинејџерка, додека таа се соочува со различни предизвици и авантури во секојдневниот живот. Али продолжува да се движи низ сложеноста на нејзините пријателства, справувајќи се и со радостите и со предизвиците што доаѓаат со одржувањето блиски односи со нејзините пријатели. Како и со другите книги од серијата, семејството на Али останува важен дел од нејзиниот живот, а читателите можат да очекуваат да видат како семејството влијае на нејзините одлуки и постапки. Личниот раст и развој на Али додека созрева игра централна улога во приказната, дозволувајќи им на младите читатели да се поврзат со нејзините искуства и раст. Книгата истражува различни тинејџерски искуства, вклучувајќи го училиштето, состаноци и други предизвици со кои младите често се соочуваат. Карен МекКомби го украсува своето пишување со хумор и раскажливи ситуации, правејќи ја приказната привлечна и пријатна за младите читатели. Ова е приказна која се фокусира на подемите и падовите на тинејџерскиот живот, со релаксирачки и лесен пристап, што го прави соодветно четиво за деца и тинејџери.",Романи и раскази за млади,Карен Мекомби,Икона,2009.0,220.0,499 Денари,literatura
Готвачките авантури на Белиот Мечок,"Белиот мечок со шест шепи живее во Беарвил, веднаш до Северниот Пол. Неговиот татко е мечокот филозоф, а мајка му е принцезата на палачинките. Малиот мечок уште не знае кој е неговиот повик. А како ќе дознае? На едно авантуристичко патување кое ќе му покаже за што се е способен, и што сака најмногу да прави. Во оваа сликовница ќе најдете и многу рецепти за храна кои дечињата можат да ги подготвуваат заедно со своите родители! Сите авантури на белиот мечок имаат врска со храната - кога белиот мечок конечно ќе се врати дома тој веќе го научил својот вистински повик - да биде готвач! Отвора ресторан во Беарвил, задоволен бидејќи шесте шепи се многу корисни за да ги подготви сите јадења точно на време!",Сликовници,"Мара Вишка, Улдис Даугавиќ",Прозарт Медиа,2022.0,50.0,500 Денари,literatura
Моите патувања - откритија: Атлас на светот,"Истражи го нашиот чудесен свет на сите континенти и мориња низ едно несекојдневно патување! Посети ги големите континенти и малите земји. Патувај кон длабочините на океанот и искачи се на највисоките врвови. Научи многу нешта за знамињата, за некои прочуени личности и многу, многу повеќе. Отвори ги прозорчињата и преклопените страници за да дознаеш многу забавни факти. А, згора на сето тоа, откриј ја и огромната скокачка страница на нашата неверојатна планета!",Сликовници,Ања де Ломберт,Арс Ламина,2024.0,,850 Денари,literatura
Боенка со налепници - Слатки десерти,"Боенки со налепници • За развој на моторичките вештини кај децата • За јакнење на концентрацијата • За поттикнување на детската љубопитност, фантазија и креативност",Боенки и цртанки,,Арс Ламина,2022.0,10.0,48 Денари,literatura
Полжавот и китот,"Во „Полжавот и китот“ едно морско полжавче копнее да патува и да го запознае светот, но не знае како? За среќа, се сретнува со големиот кит, па користејќи го неговиот опаш како едро, запловува низ мориња и океани, низ предели тропски и ледени....На крајот, со својата храброст, упорност и самодоверба успева да му помогне на големиот кит, кој ќе се најде во невоља. Уште едно римувано ремек дело на писателката Џулија Доналдсон, најпродаваниот детски автор во Велика Британија.",Сликовници,"Џулија Донакдсон, Аксел Шефлер (илустрации)",Елоквента,2021.0,32.0,300 Денари,literatura
Розевата планета,"Розевата планета“ е сликовница (па дури би можела да се нарече и стрип-сликовница) која раскажува стихувана приказна за малиот космонаут во потрага по Розевата планета, на која сѐ е розево, слатко и мирисно. Сликовница за мали и големи, оние со соништа за далечни планети и подобри светови. Дополнително, изданието е придружувано со музичка компилација, која можете да ја симнете за слушање бесплатно на следниот линк: https://pmgrecordingsk.bandcamp.com/album/rozevata-planeta-va-pmgr192?fbclid=IwAR0HYvBFBOSLdqHRBjBS3gUgqaE0k_CtX0VdntRkQgsyQPaDjQNA9SmyYFs Розевата планета“ е сликовница (па дури би можела да се нарече и стрип-сликовница) која раскажува стихувана приказна за малиот космонаут во потрага по Розевата планета, на која сѐ е розево, слатко и мирисно. Сликовница за мали и големи, оние со соништа за далечни планети и подобри светови.",Сликовници,Мирко Попов,Чудна Шума,2021.0,40.0,330 Денари,literatura
Letters & Numbers Abc 123 writing and coloring,Книга со активности за деца на предучилишна возраст. Преку боење и цртање децата ќе ги учат буквите од англиската азбука и броевите од 1 до 9.,Книги со активности,,Арс Ламина,2024.0,36.0,98 Денари,literatura
"Градежни машини - играј, научи, обој","Читај, бој и играј си за да научиш низ забава и низ игра со твоите градежни машини! Во пакувањето ќе најдеш: -книга за читање и боење -извонредни градежни машини!",Сликовници,,Топер,,16.0,420 Денари,literatura
Без зборови,"Се присилив да отидам до сцената и се свртив. Ова ќе биде најстрашното нешто што сум го сторил во животот. Погледнав надолу кон морето од светкави очи и се натерав да се фокусирам на следниот чекор. Требаше само да ги издржам следните пет минути, збор по збор. Тогаш ќе беше готово. Желе Мајлс порадо би играл видеоигри со најдобриот другар П. Б. отколку да се подготвува за натпревар во говорење. Всушност, порадо би правел сѐ друго. Затоа е изненаден како и сите други што сериозно го сфаќа годинашниот натпревар. Отпрвин, тоа го прави поради одличната награда. Но кога натпреварувањето ќе тргне наопаку, Желе сфаќа дека ова му е шанса конечно да ја победи сезнајката од неговиот клас. Со неговата репутација, самопочит и другарството што го става на прво место, може ли Желе да ја најде храброста да стане пред целото училиште и да покаже кој е всушност? Урнебесно смешна, „Без зборови“ се занимава со тоа како да им се спротивставите на насилниците, да дознаете кои ви се пријатели и да го најдете вашиот уникатен глас. Награди и признанија: Surrey Schools Book of the Year, 2017 CBC Best Books of the Year, 2015",Романи за деца,Џенифер Мук - Сенг,Чудна Шума,2022.0,184.0,350 Денари,literatura
Добре дојдовте првачиња!,"„Добре дојдовте првачиња“ е посебно издание кое го одбележува важниот момент на започнување на училишното патување. Со оваа книга, вашите првачиња ќе се запознаат со училиштето, наставниците и учењето преку забавни и едукативни содржини, водени од омилените ликови на Биби и Боби. Совршено за првиот школски ден!",Книги со активности,"Златица Апостолов, Иванчо Николов (илустрации)",Светот на Биби,2024.0,16.0,99 Денари,literatura
Стела и Сани: Дали е обичен ден или роденден,"Со Стела и Сани секој ден е весел како да е роденден! Но Стела го слави својот само еднаш во годината.Таа направи најубави покани,но со датумот настана збрка-а драг гостин никогаш не се брка.И така на роденденската забава подранија меcхката,стоногалките,жабата,пингвините... Како настана оваа грешка и како Стела со тоа се справи - видете во новата сликовниcа,таму забава се прави!",Сликовници,"Бистра Георгиева, Наталија Лукомска",Издавачки центар ТРИ,2021.0,44.0,250 Денари,literatura
Шерлок Холмс за деца: Марамата со точки,"""Со голема тага известуваме за СМРТТА на г-ѓиcата Џулија Стоунер од Стоук Моран. Приcхината останува НЕПОЗНАТА. Повторно се слушаат необиcхните звуcи што за последен пат се огласиле околу мигот на смртта на Џулија. Сестра ѝ Хелен знае дека е само прашање на време кога и самата ќе ја дојивее истата судбина. Се подготвува мраcхен заговор, а единствениот наcхин да се фати злосторникот е да се заcхекори среде смртоносна стапиcа...""",Романи за деца,Артур Конан Дојл,Арс Ламина,2022.0,128.0,129 Денари,literatura
Мојата прва азбука на боите и вкусовите,"Венко Андоновски повторно ни приреди Азбука за најмалите. Овој пат една соооосем поинаква азбука што има боја и вкус. Жолтото е кисело, црвеното е слатко. А оваа сликовница е сите вкусови измешани во еден. Ајде на нова Стела и Сани авантура. Многу поразлична од минатите, но не и помалку забавна!",Сликовници,Венко Андоновски,Издавачки центар ТРИ,2024.0,64.0,500 Денари,literatura
За Младоста,"Младоста е возбудлива, убава и забавна, но понекогаш знае да биде тешка и променлива. Таа е период во животот кога се случуваат сериозни промени. Се наоѓате на преминот меѓу детството и зрелата доба. Заедно со другите, а сепак сами. Родителите стојат на страна и не сфаќаат ништо, колку и да се трудат да разберат. Познатата норвешка писателка Лин Скобер разговарала и се дружела со младите луѓе и ги запишувала нивните размислувања за животот, созревањето, чувствата, копнежите. Собраните материјали ги преточила во мали текстови за големи теми – од перспектива на младите. Нивните приказни се читливи и забавни, но истовремено изненадуваат бидејќи младите раскажувачи зрело и храбро се соочуваат со семејните и врсничките проблеми, обидувајќи се да преживеат во модерното општество во кое недостигаат топлината и сигурноста.",Романи за деца,Лин Скобер,Чудна Шума,2024.0,256.0,800 Денари,literatura
Прекрасна уметност со сјајни налепници,"Со помош на оваа сликовница децата можат да ја развиваат сопствената креативност и да создадат низа уметнички мозаик-дела. Сликовницата содржи стотици налепници, вклучително и еден дел особено сјајни, како и низа различни активности.",Книги со стикери,,Арс Ламина,2024.0,45.0,299 Денари,literatura
Фи ја губи моќта,"Малата вештерка Фи ја губи моќта, но дали е сѐ изгубено? Дали силата на пријателството може да ѝ помогне на Фи да си ги врати своите способности? Во новата авантура на Биби и Боби читајте за една загубена моќ, за едни вистински пријатели и низ што поминуваат кога се заедно.",Сликовници,Божидар Божиновски,Светот на Биби,2024.0,30.0,200 Денари,literatura
Операција чист воздух 1,"Џеронимо Стилтон живее во Глувчево, на Островот на Глувците, еден необичен остров во облик на парче сирење, сместен во Јужниот Стаорски Океан. Овде природата е заштитена, а глодачите живеат среќно. Во слободното време, Џеронимо собира стари корки пармезан од осумнаесеттиот век, но, најмногу од сè, обожава да пишува книги во кои што ги раскажува неговите извонредни глувчешки авантури! Дипломирал на Глувчологија на глодарската книжевност и Компаративна археоглувчешка филозофија. Раководи со Глувчеви Вести, најпознатиот весник на Островот на Глувците. Има добиено многу признанија, меѓу кои и наградата Глувцингер за делото „Тајната на исчезнатото богатство“.",Романи за деца,Џеронимо Стилтон,Култура,2022.0,100.0,290 Денари,literatura
ЛИОБАНИ. Јас објаснувам - учествуваш ли и ти?,"""Книга за млади од 12-18 година на животот. Лиобани им помага на младите да ја пронајдат слободата во Бога и да го земат својот живот во свои раце: Како да го пронајдам мојот сопствен тип, како да дојдам до моите способности? Која е вистинската професија за мене?… И уште многу друго. """,Самопомош и совети,Габриеле,Габриеле Издателство Реч,2014.0,269.0,340 Денари,literatura
Еден ден со Стела и Сани,"Колку исти и колку различни нешта има во еден ден? Во сите има убавина. Помини еден цел ден со Стела и Сани и види колку забавно може да биде дури и четкањето на забите. Со нив е неверојатно сè што се прави. Освен тоа, ќе видиш колку е прекрасно на сите да им даруваш добрина. Така, кога ќе го обоиш светот на Стела и Сани, ќе им го направиш денот посебен, а тие тебе ќе ти го наполнат срцето со шарени убавини.",Боенки и цртанки,,Издавачки центар ТРИ,0.0,,199 Денари,literatura
Леле во што се пртетворив,"Мила се буди со првите сончеви зраци. Треба да ги набере лимоните од градината. Но лимоновото дрво е огромно, а Мила малечка. Не ѝ е лесно! Таа почнува да мечтае: дали би била посреќна ако сум слободна како птица што пее или како облак што лебди на ветерот?",Сликовници,Елиф Јеменџи,Антолог,2022.0,24.0,300 Денари,literatura
Ешко Жешко,"Трет дел од сликовниcите за фамилијата Ешковcи! Ешка Смешка не е сама. Таа има уште многу братчиња и сестричиња. А меѓу нив се истакнува - Ешко Жешко. И додека сите ежиња се чувствуваат поинаку, на овој Ешко секогаш му е - жешко! Ако тоа беше сосема разбирливо лете, беше многу чудно- во студените месеcи! Никој не можеше да сфати зошто Ешко Жешко секогаш повторуваше: - Их, колку е жешко! Жешко! Жешко! Жешко! Дали Ќе се најде некој што Ќе може да ја разоткрие неговата тајна?",Сликовници,Александар Кујунџиски,Антолог,2021.0,16.0,180 Денари,literatura
Љубовни лекции,"Пру и сестра и Грејс, cелиот жживот го поминале дома, уcхејќи со нивниот исклуcхително строг татко. Кога, во еден момент, нивниот татко ќе заврши во болниcа, Пру конеcхно ќе открие како е да се биде слободна. Кога ќе стапне во уcхилиште за првпат во жживотот, Пру не се снаоѓа баш најдобро.",Романи и раскази за млади,Џеклин Вилсон,Икона,2013.0,206.0,499 Денари,literatura
Приказни за мали авантуристи: Волшебните патувања на Софија,"„Приказни за мали авантуристи: Волшебните патувања на Софија“ е збирка од меѓусебно поврзани раскази за деца од раноучилишна возраст (па дури и за предучилишна, доколку се читаат пред спиење). Во секој од расказите малата Софија заминува на едно волшебно патување со нејзиниот розов авион – еден, два, три – во нова чудесна авантура. Но, оваа книга е многу повеќе отколку книга за деца. Во неа авторката Екатерина Ширгоска Лена мошне умешно вметнува совети за родителите како да ги воспитуваат своите деца и како да разговараат со нив за одредени тешки прашања и теми. Од тој аспект, книгата може да послужи дури и како своевиден прирачник за родителите.",Романи за деца,"Екатерина Ширгоска Лена, Алексеј Костовски (илустрации)",Чудна Шума,2023.0,40.0,350 Денари,literatura
Градот Вабу и потрагата на Нави,"Додека Нави го набљудуваше балонот, балонот ја набљудуваше собата на Нави: мал кревет со две перници, полица со три фиоки, што ли се крие внатре? Мала полица со книги и уште една со фотографии во рамка, закачалка, глобус и многу играчки! – Хм, за џабе си го губам времето, ти си само еден обичен балон – си рече Нави и отиде да си игра.",Романи за деца,Симона Јованоска,Чудна Шума,2022.0,52.0,375 Денари,literatura
Учиме да пишуваме и читаме со Биби и Боби,"„Учиме да пишуваме и читаме со Биби и Боби“ е уникатно издание кое ги воведува децата во светот на буквите и зборовите. Со помош на Биби и Боби, најмалите ќе ги совладаат основите на читање и пишување преку забавни активности и вежби. Идеално за првите чекори во писменоста!",Книги со активности,Иванчо Николов (илустрации),Светот на Биби,2024.0,16.0,99 Денари,literatura
"Bibi, Bobi dhe shtëpiza prej çokollate",,Сликовници,Билјана С. Црвенковска,Светот на Биби,2021.0,36.0,180 Денари,literatura
Мојата прва библиотека - СВЕТУЛКА,"Книга 14 „СВЕТУЛКА“ е четиринаесетта книга во комплетот, а четврта од „Жолто ниво”. Изучени букви: А Н Е М И С Т О В Д П Л К У",Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
