Наслов,Опис,Kатегорија,Автор,Издавач,Година,Страници,Цена
Ру,"„Ру“ значи „поточе“ на француски и „приспивна песна“ на виетнамски, но исто така значи и секакво друго течење – на солзи, крв, пари. „Ру“ на Ким Туи е најкристалната книга што ќе ја прочитате: текот на животот во бурите на немирот и во мирните води на јасниот стил, оваа книга ќе ве поведе на незаборавно патување од кралскиот дворец во Сајгон до преполниот и каллив камп за бегалци во Малезија, а понатаму до новиот живот во Квебек. Една млада девојка е во прегратките на поинакво општество, обидувајќи се да го оствари својот американски сон. Кога ќе подостари, водите одново стануваат матни: сега е мајка на двајца синови и мора да научи да ја обликува својата љубов на друг начин, поради аутизмот на едниот од нив. „Ру“ е книга што го слави животот со неговите чуда: моментите на убавина и сензуалност, на бруталност и тага, на удопство и смеа.",Фикција,Ким Туи,Антолог,2014,144,"200,00 Денари"
Четврток,"Романот ни ги открива животите на четири жени во современа Бугарија. Таткото на дебелото девојче Симона не знае да пишува на бугарски, но владее над целиот регион, продавајќи им на луѓето облека на старо, лош алкохол, телевизори, кондоми, метални конструкции, сè.
Вистински дилер од транзицијата. Но има силна конкуренција, која се погрижува да биде застрелан пред својот дом. Ќерката ја наследува „империјата“ од кафеани, млекарници, долгови, со кои раководи со иста жестина како и таткото, претворајќи го населението од цел град во свои закрепостени селани.
Ова е дело за упорноста на човековиот дух да излезе накрај и да одолее во моралната Сахара. Ова е роман за уништувачката моќ на парите, роман за гладот и роман за љубовта, која, наспроти сè – предавства и поткупи – останува жива. Ова е роман за надежта, за тоа дека современа Бугарија бавно и тешко, сепак се одвојува од црната слика на насилството, корупцијата, понижувањето, за да се придвижи кон похумани денови.",Фикција,Здравка Евтимова,Антолог,2014,272,"350,00 Денари"
Божиќ засекогаш,"Додека го промовира својот нов божиќен роман писателката Рајли Рејнолдс останува без зборови.
За време на телевизиското интервју емитувано во живо низ целата земја ја прашуваат како може да пишува романси кога самата досега лично не доживеала нешто романтично. Рајли набрзина вели дека во минатото доживеала една голема љубов која подоцна станала инспирација за нејзините романи. Но, таа не е свесна дека нејзината патемна изјава ќе ѝ го преврти светот на глава. Интервјуто го гледаат тројца нејзини поранешни момчиња: секој од нив мисли дека зборувала токму за него и сите тројца доаѓаат на нејзиниот книжевен викенд-настан, Божиќниот камп. Секој од нив е решен да ја наговори заедно со него одново да го напише среќниот крај на личната љубовна приказна. Поранешните момчиња на Рајли се натпреваруваат кој ќе ѝ го освои срцето, при што не бираат начини за да го испланираат најромантичното рандеву на светот. Рајли почнува одново да чувствува наклоност кон секој од нив, но на различен начин. Додека се навраќа на трите поранешни врски и притоа дознава повеќе за себеси, Рајли ѝдозволува на празничната магија да ја обземе и конечно ја наоѓа онаа, вистинската љубов, оној свој среќен Божиќ засекогаш…",Фикција,Карен Шалер,Антолог,2023,368,"500,00 Денари"
Нај-кратки раскази,Колку најкраток може да биде еден расказ а сепак во него да се раскажува интересен и впечатлив настан. Анета Попова е една од првите жени-авторки кои објавија храбра книга микрофикции.,Фикција,Анета Попова,Антолог,2009,159,"200,00 Денари"
Ќерката на трговецот со свила,"Незаборавна приказна за една жена растргната помеѓу два света…
Француска Индокина, 1952 година. Кога Никол, полу-Французинка, полу-Виетнамка, ќе наполни осумнаесет години, нејзината мајка умира и татко ѝ ѝ препушта да се грижи за одамна затворената продавница за свила во Ханој. Но нејзината сестра Силви е таа што ќе го преземе управувањето со големиот семеен бизнис. Погодена од оваа неправда, почнува да ги чувствува и неправдите на колонијалната власт кон Виетнамците.
Додека бунтовниците со сите расположливи средства се обидуваат да стават крај на владеењето на Французите, Никол е на крстопат помеѓу Тран, озлогласен виетнамски бунтовник што ѝ нуди совршено бегство од неволите, и Марк, шармантниот американски трговец и маж за каков што отсекогаш сонувала. Исправена пред големите одлуки, животот ќе ѝ тргне во неочекуван правец… Магична повест за мрачните тајни, сестринското ривалство и страсната љубов, сместена во колонијалната ера на Далечниот Исток.
Од бестселер-авторката на МИРИСОТ НА ЛИСТОВИТЕ ЧАЈ",Фикција,Дајна Џефрис,Антолог,2022,400,"500,00 Денари"
Spectator (V издание),"„Spectator“ е единствен дебитантски роман во современата македонска книжевност со пет изданија. Првата вистински урбана книга што пренесува машко-женски ситуации од 12 европски града, меѓу нив и Скопје, но блиски на сите луѓе на светот.",Фикција,Жарко Кујунџиски,Антолог,2010,128,"200,00 Денари"
Хотел Тишина,"Смешен, меланхоличен и крајно заводлив роман за еден човек чиј живот се распаѓа и процесот низ кој минува за повторно да го состави.
  Јонас се чувствува како неговиот живот да завршил.
Сопругата го оставила, мајка му сè повеќе тоне во деменција, а неговата ќерка веќе не е истата. Така што, тој смислува сигурен план: да купи билет во еден правец до хаотичната земја опустошена од војна и да стави крај на сè.
Но, откако ќе пристигне во хотелот „Тишина“, тој сфаќа дека неговиот план – и неговата анонимност – започнуваат да се растопуваат под странското сонце. Сега, некои други работи го привлекуваат неговото внимание, како на пример самиот хотел што е пред распаѓање, персоналот, како и невообичаените гости. Набрзо станува јасно дека Јонас мора да одлучи дали навистина сака да остави сè зад себе; или да му даде на животот уште една шанса, иако претстои еден сосем неочекуван пат…
„Хотел Тишина“ ја доби Исландската награда за литература во 2016 година, а истата година издавачите го избраа и за најдобар исландски роман.",Фикција,Ојдур Ава Олафсдотир,Антолог,2020,160,"250,00 Денари"
Од животот по Европа,"Авторот на збиркава, во „улога“ на глобтротер, патувајќи низ Европа, што по службена линија, што по своја лична, како пасија и опсесија, ги посетил речиси сите поголеми градови во Европа: Брисел, Москва, Париз, Цирих, Прага, Рим, Лондон, Мадрид, Берлин, Варшава, Копенхаген… и за сите нив напишал импресивни стихови.",Фикција,Саво Костадиновски,Антолог,2016,32,"200,00 Денари"
Сè што правиме во мракот,"Парис Пералта е осомничена дека го убила својот славен сопруг, а нејзиното минато што долго време го криела сега се заканува да ѝ ја уништи иднината.
Парис е уапсена во нејзината бања. Покриена е со крв и држи жилет, додека сопругот лежи мртов во кадата зад неа. Таа знае дека ќе биде обвинета за убиство. Но, колку и да изгледа лошо сето ова, тоа не е она што најмногу ја загрижува. Поради непосакуваното медиумско внимание што сега ја опкружува, прашање на време е кога некој од нејзиното минато ќе ја препознае и ќе ѝ го уништи новиот живот кој толку напорно работеше да го изгради.
Дваесет и пет години претходно, Руби Рејес, позната како Ледената кралица, беше осудена за слично убиство во судскиот процес што ја разбранува Канада во почетокот на 1990-тите. Рејес знае која е навистина Парис и кога неочекувано излегува од затвор, се заканува дека ќе ги открие сите нејзини тајни. Оставена без избор, Парис мора најпосле да се соочи со мрачното минато од кое мислела дека избегала еднаш засекогаш.
Бидејќи единственото нешто полошо од обвинение за убиство се две обвиненија за убиство.",Фикција,Џенифер Хилиер,Антолог,2023,384,"500,00 Денари"
Го имам служено англискиот крал,"Интересно, романот „Го имам служено англискиот крал“ е напишан за помалку од еден месец со техниката на автоматско пишување. Текстот потоа е објавен без исправки како самиздат, а дури по падот на социјалистичкиот режим во 1989 година и во формат на книга. Овој роман ја раскажува приказната на Дити, амбициозен, но едноставен келнер во елитен хотел во Прага во годините пред Втората светска војна. Дити е поканет да го служи не кралот на Англија, туку Хајле Селасие, императорот на Етиопија. Тоа е еден од најважните моменти во неговата биографија. Кога Гергманците ќе ја окупираат Чехословачка, се вљубува во фашистка атлетичарка. По војната, продавајќи вредни поштенски марки конфискувани од Евреите, го достигнува врвот на своите амбиции и гради свој хотел. Станува милионер, но со доаѓањето на комунизмот губи сè и е испратен да биде надзорник на патиштата во планините. Во тешки услови, Дити е исправен пред неизбежноста на последниот час, но и тогаш го задржува стилот на голем комичар.",Фикција,Бохумил Храбал,Антолог,2013,176,"250,00 Денари"
Записи од Америка,"Четвртата збирка со песни создадени при неговите патувања низ разни континенти, низ многубројни земји и градови, авторот Костадиновски ја посветува на Соединетите Американски Држави. Големата, значајна и инспиративна Америка… За него, лично, и поради фактот што во неа во далечната 1880 година отпатувал на печалба и неговиот прадедо, славниот Костадин, за кого е испеана песната „Слушај кај шумат шумите…“",Фикција,Саво Костадиновски,Антолог,2015,34,"200,00 Денари"
Крикот на ластовицата,"Книгата го поставува прашањето: Дали е поопасен сериски убиец што убива педофили или е поопасен човек што, додека во светот се случуваат вакви нешта, ја гледа само својата удобност и останува рамнодушен? 
Цел на серискиот убиец Мижачот се педофилите. Секогаш ги убива со ист ритуал. Ги носи силувачите на места што се поврзани со деца и покрај нив остава играчка. Покрај тоа, им ги врзува очите со кадифен превез и им пресекува дел од десното уво. Поради ова го нарекуваат Мижачот.
Пред неколку години имало слични случаи, но убиецот не бил фатен. Сега, кога тимот на началникот Невзат доаѓа на местото на злосторството, од глетката заклучуваат дека Мижачот повторно се вратил. Жртвата е педофилот што претходно се обидел да ја заведе и ќерката на началникот, пред таа и мајка ѝ да загинат во вооружен напад. Поради сето ова случајот почнува да станува почувствителен.
„Крикот на ластовицата“ го буди интересот на читателите со својата богата фикција и со возбудливото темпо, како и со чувствителниот приод кон општествените случувања, нудејќи многу повеќе од еден детективски роман. Дали може да се оправда едно убиство, од каква и да е причина?",Фикција,Ахмет Умит,Антолог,2021,432,"500,00 Денари"
Островот на пеликаните,"Уште една крими-драма што е сосем поинаква од која било книга од тој жанр.
Дејството ги следи судбините на двајца млади Роми, кои по игра на случајноста завршуваат во судница и доживуваат пресуда што отвора низа настани што никој не би можел да ги замисли.
Приказната за Ајша и Габриел, за Павле и Јована, е приказна за џелатите што стануваат жртви и жртвите што стануваат џелати на сопствената судбина. Тоа може да се претвори во сечија приказна, но уште веднаш се однесува на секого од нас. Токму затоа оваа книга ќе ја прочитате во еден здив, а силуетите на нејзините јунаци ќе се вкотват длабоко во вас.
Мајиќ никогаш немал шанса да одговори на обвинувањата против него. Не го сторил тоа зашто се држел до професионалниот кодекс и не сакал да зборува за случаите на кои судел. Наместо да ги толкува површните напади, судијата одговара со нова книга, која не само што претставува книжевно дело туку е и посебен чин од кој треба да учиме како да се бориме на правилен начин.
„Островот на пеликаните“ носи надеж дека борбата за општо добро секогаш има смисла.
„Романот на Маиjќ ќе предизвика нови полемики и влегува во редот на оние дела што во името на вистината и правдата не штедат никого и никому не се умилкуваат.“ – Филип Давид
  *Книгата е достапна со потпис од авторот. Во коментар за нарачката нагласете доколку сакате да добиете потпишан примерок.",Фикција,Миодраг Мајиќ,Антолог,2021,352,"400,00 Денари"
Succubus – II издание,"„Се знае и за ѓаволските книги што си ги читала. А се знае што чуваш во ковчежиња и дека си го уби свршеникот. Си станала сукубус. Знаете што е тоа?“ Иако им се обрати на стражарите и Тобиас, не се се заврте кон никој од нив, туку со перверзна надменост гледаше во Луција. „Ајде, ти барем си читала, знам дека знаеш. Народот ги вика сукуби, женски демони, мачат мажи, ги снеможуваат, им ја крадат силата.“
Почеток на XVIII век. Палењата вештерки низ Европа се стивнати, но не и исчезнати. За време на неделна миса во катедралата, шеснаесетгодишната Елисавет здогледува таинствена туѓинка и во истиот миг се опседнува со мистеријата околу неа. Луција Лилит Абдеел, омажена за локален благородник, покрај таинственоста, во новиот град со себе ги носи и гласините дека била осомничена за вештерство.
Самаел, црковниот прислужник и другар од детството на Елисавет, наоѓа начин да ја пикне на работа во богаташкиот дом на туѓинката. Елисавет гледа и сфаќа дека гласините за нејзината господарка не се неосновани, но од ден на ден и нејзината верност кон неа сѐ повеќе расте.
Елисавет, Самаел и Лилит стануваат нечисто свето тројство во обидот Луција да избега од несаканиот брак со човекот кој ја спасил од клада.
„Не горат благородници, Елисавет, запомни го тоа. Горат гревовите како мене и тебе.“",Фикција,Катерина Шошко,Антолог,2024,240,"400,00 Денари"
Измиен грев,"Кога се раѓа малата Фрмеск, таткото не ја прифаќа зашто е девојче. Згора на сè, бележана е доживотно со перче коса бела како креда на предниот дел на ќелавото главче. Дали е ова знак од Алах? Дали Фрмеск е благословена или проколната?
Мајката на Фрмеск се плаши дека маж ѝ ќе го остави новороденчето на улица. Како што се интензивира неговото насилно однесување, единственото што ѝ останува е да го даде детето да го одгледаат други луѓе.
Фрмеск расте во љубов со своите баба и дедо. Дедото е доброобразован полковник во пензија, а бабата „измивачка на мртовци“. Таа се грижи за жени што никој не сака да ги погребе – убиени во обесчестеност и срам. Но само кратко време бабата и дедото можат да ја заштитат Фрмеск од физичкото и менталното насилство врз жените во Курдистан, придружено со војна, геноцид и омраза.
За „Измиен гнев“ во 2018 година Сара Омар ја добива наградата „Readers’ Book Prize“.",Фикција,Сара Омар,Антолог,2021,304,"400,00 Денари"
62. Модел за составување,"Еден од најдобрите романи на шпански јазик од дваесеттиот век. Експериментално ремек-дело од Кортесар во кое главните ликови истовремено опстојуваат во реалниот свет – каде што го образуваат својот потесен круг, односно зона, место каде што се среќаваат – и во еден град, измислен од нив самите, место каде што не се среќаваат, каде што залудно се обидуваат да го најдат својот бериќет, кој, се чини, е толку блиску за секого од нив, но упорно им се измолкнува…
Во оваа книга Аргентинецот Кортасар го поканува читателот да излезе од своите рамки и заедно со авторот да го гради дејството во романот.",Фикција,Хулио Кортасар,Антолог,2013,288,"320,00 Денари"
Остров,"Куќата е на крајот од ’ртот, во ретката борова шума, на островот. Сосем близу до гробиштата, далеку од малата рибарска населба. Тука, недалеку од морето, блескаво лете, смрачено и сиво зиме, живеат тие двајца, со години, отповеќе многу години, можеа и да заборават сè што било, оти било одамна, ама немаат заборавено, осудени се на сеќавање.
Негови се: мрежата, чамецот, рибите, говорите, тагата и бесот, талкањето по островот.
Нејзини се: готвењето, чистењето, цвеќињата, кокошките, клавирот за кој сонува, трпението и тивкото сеќавање.
Тој ги мрази своите риби, и вели: Утре ќе јадеме кокошка за ручек. Таа е поразумна, вели: Поарно риба.
Како живеам? Добро. Задоволен сум што го проживеав веков, а никому не наштетив. Онаа штета што мене ми е нанесена одамна ја заборавив бидејќи загубата полесно се поднесува отколку каењето.
Ова е прв превод на романот „Остров“ на македонски јазик.",Фикција,Меша Селимовиќ,Антолог,2020,204,"300,00 Денари"
"Добра ноќ, слатки сни","Дејството се одигрува во Брно во текот на еден ден на самиот крај од војната, 30 април 1945 година. Се повлекуваат голем дел од вермахтот и од СС-дивизиите. Се враќаат заробениците од концентрационите логори, но нивните куќи и станови веќе се зафатени. Нема струја, гас, водоводот е уништен, се погребуваат луѓето по градините и по парковите. Се создало таканаречено нулто време, владеат хаос и несигурност што ќе се случи утре, а луѓето се подготвени да го ограбат и својот најблизок. Во таква ситуација еден човек тргнува да бара пеницилин, лекот што прави чуда, потрага штона моменти се претвора во детективска приказна.
Романот е номиниран за наградата „Магнезија литера 2013“.",Фикција,Јиржи Кратохвил,Антолог,2014,256,"240,00 Денари"
Евтини приказни,"Покрај високото петто место на листата најфилмови на сите времиња,околу самото сценарио е кажано дека „Како и Граѓанинот Кејн, Евтини приказни е напишан на таков нелинеарен начин што може да се гледа дузина пати и секогаш да се прашуваме што следи потоа…“ Моќните дијалози го вбројуваат во највредните сценарија на 20. век. (Из)врши влијание секаде каде што е тоа можно – од телевизијата и филмот, преку видеоигрите и стиповите, до музиката и начинот на однесување. Авторите Квентин Тарантино и Роџер Евари во 1994 година се закитија со Оскарот за оригинално сценарио и со Златната Палма во Кан. Неколку списанија и реномирани критичари го оценија Евтини приказни како пресвртен момент во новата историја на американската кинематографија“.",Фикција,Квентин Тарантино,Антолог,2007,192,"300,00 Денари"
Невидливи љубови (II издание),"Отсекогаш бил фасциниран од идејата со колку луѓе сме биле во сопствените мисли без тие воопшто да бидат свес­ни за тоа. Колку реплики сме им кажале додека во својата внатрешност сме разговарале со нив, колку нивни одговори сме слушнале, колку реакции сме примиле во тие компулзивно конструирани човечки драми. А сигурно и ние, без да знаеме, сме присуствувале на мноштво такви разговори во нечии други замислени светови. Какви непредвидливи улоги сме изиграле во замислените филмови на пријателите, на познајниците, на целосните туѓинци додека физички сме биле на некое друго место?
* * *
Книгата „Невидливите љу­бови“ на Владимир Јанковски е полна со една нова урбана бајковност, космополитска и скопска истовремено, цврсто закотвена во реалнос­та, но истовремено поетска и фантазмагорична.
Влада Урошевиќ
Романот на Јанковски постојано ја нагласува конститутивната моќ на Погледот, незаобиколното соучество на Другиот (во нашето идентитетско и естетско себе-заокружување), како и улогата, што во создавањето на сликата (односно, самата стварност) потполно несвесен за тоа, неминовно ја игра и самиот набљудувач.
Елизабета Шелева
Одличен! Од корица до корица, од реченица до реченица. (…) Јасно, чисто, ферментирано, почнато и завршено. Точката на крајот од романот метафорично е две точки за неговото наредно дело.
Оливера Ќорвезироска",Фикција,Владимир Јанковски,Антолог,2023,176,"350,00 Денари"
Вознемирени луѓе,"„Вознемирени луѓе“ е апсурдна комедија за заложничка драма што се случува среде презентација на стан за продажба.
Неуспешен ограбувач на банка се затвора со група луѓе со чудни, необични карактери. Разбојникот на крајот ќе се премисли и ќе ги пушти сите заложници, но, кога полицијата влегува внатре, станот е – празен. Во серија од дисфункционални сослушувања на сведоците во полициската станица, читателот има можност да ги следи детално различните верзии на тоа што всушност се случило, при што се развива едно класично составување на мозаик околу неколку прашања: Како успеал да избега разбојникот? Зошто се сите толку гневни? И во што е проблемот со луѓето во денешно време?
Потресен и шармантен роман за злосторство што никогаш не се случило, потенцијален разбојник и осуммина крајно вознемирени странци, кои сметаат дека имаат повеќе заедничко отколку што замислувале.
Полна хумор и емпатија, „Вознемирени луѓе“ е генијално конструирана приказна за трајната моќ на пријателството, простувањето и надежта –  нештата што нè спасуваат дури и во немирни времиња.
Само шест гласови ја делеа најновата книга на омилениот Фредрик Бакман од победничкото место на „Goodreads choice awards“ во категоријата „Најдобра прозна книга за 2020 година“. Наскоро и – ТВ-серија на Netflix.",Фикција,Фредрик Бакман,Антолог,2021,352,"450,00 Денари"
Градината,"Средина е на деветнаесеттиот век. На кнезот и кнегињата Борјатински им се раѓа задоцнето, неочекувано дете.
Тусја од самиот почеток не е како другите. Таа буквално го разорува семејството што претходно изгледало идеално. Во строгите рамки на општеството полно со конвенции, кога секој човек пред сѐ му припаѓа на семејството, а не самиот себеси, таа се однесува како апсолутно – дури ненормално – независен човек. Самата одлучува кога ќе се роди и кога ќе почне да зборува. Како ќе се однесува, со што ќе се занесува, кого ќе љуби или ќе мрази. Историја за тоа колку е тешко да се биде слободен човек во неслободен свет.
Романот „Градината“ е пораснат на литературна почва вкоренета во стаменитата земја на класичната руска литература на деветнаесеттиот век (Толстој, Тургенев, Чехов, итн.). Книгата предизвика огромно внимание во Русија и поделени мислења за идејните и естетските вредности, но во едно сите се согласуваат – тоа е исклучително напишан роман, со многу страст и силна поетика што маѓепсува, повлекува во својот свет без задршка и предизвикува чиста наслада.",Фикција,Марина Степнова,Антолог,2023,352,"500,00 Денари"
Цртежи од темнината,"Жестоко и имагинативно исплетен натприроден трилер, за девојка која работи како дадилка на детенце со чудни и вознемирувачки тајни.
Мелори Квин тукушто излегува од рехабилитација и наоѓа ангажман кај брачната двојка Тед и Керолајн Максвел: ќе го чува нивниот петгодишен син Теди. Мелори веднаш ја засакува работата. Има свој простор каде што живее, навечер излегува да трча, ја добива стабилноста по која одамна копнее. Искрено и топло се поврзува со Теди, мило и срамежливо детенце вечно со блок и со молив в раце.
Неговите цртежи се обични: тој црта дрвја, зајаци, балони. Но, еден ден, ќе нацрта нешто сосема поинакво: маж кој во некоја шума влече по земја безживотно тело на жена.
По ова, сите следни цртежи стануваат сè позлокобни, несмасно нацртаните човечиња од неговите први обиди брзо се менуваат и стануваат живописни скици кои далеку ги надминуваат цртачките способности на петгодишно дете. Мелори почнува да се прашува дали тие можеби се одеци од едно дамнешно нерасчистено убиство, а можеби и се поврзани со некоја натприродна сила.
Мелори знае колку звучи лудо сето тоа, но се нафаќа да ги дешифрира овие цртежи и да го спаси Теди пред да стане предоцна.",Фикција,Џејсон Рекулак,Антолог,2025,400,"600,00 Денари"
Совршената дадилка,"Кога Мирјам одлучува да почне да работи наместо да остане домаќинка, таа и нејзиниот сопруг бараат совршена дадилка за своите деца. Никогаш не сонувале дека ќе ја најдат Луиз: тивка, љубезна, посветена жена, која умее да пее приспивни песни, го чисти нивниот стан во Париз, останува доцна без приговор и приредува прекрасни забави за децата.
Но, како што парот и дадилката стануваат сѐ позависни еден од друг, љубомората, незадоволството и сомнежите се зголемуваат. Потоа, еден ден, две деца се убиени од eдна „совршена дадилка“! Градејќи напнатост со секоја страница, овој роман е возбудливо и храбро набљудувано истражување на моќта, класата, расата, семејството, мајчинството и лудилото!
Во 2016 година романот ја добива наградата „Гонкур“ и набргу станува бестселер со над 450 000 продадени примероци!",Фикција,Лејла Слимани,Антолог,2019,208,"300,00 Денари"
Авијатичарот,"Главниот лик на романот, Инокентиј Петрович Платонов, се буди во болнички кревет и сфаќа дека не се сеќава на ништо – ни на своето име, ни како завршил тука. По предлог на својот лекар, ќе започне да го запишува секој детаљ што ќе се врати од неговото сеќавање.
Платонов создава калеидоскоп од слики, лица, зборови, мириси, звуци и случувања поврзани со животот на еден млад човек во екот на Руската револуција, болшевизмот, необолшевизмот и анархијата… Иако поголемиот дел од неговото минато се однесува на почетокот на XX век, Платонов насетува дека се разбудил во едно друго време…
На апчињата покрај неговиот кревет пишува дека е 1999 година?!Во Русија нарекуван „Умберто Еко“, во Америка „рускиот Маркес“, Водолазкин со овој роман го оправдува и го потврдува епитетот гениј, создавајќи проза за сеќавањето и простувањето, за вината и невиноста, истовремено обликувајќи ја нежно и тажно, со силна духовна и литерарна димензија, претставувајќи го најмрачниот период на руската историја низ индивидуална судбина, зашто, како што и самиот вели, „политиката е на маргините во однос на она што се случува во душата на човекот“.
Дали Платонов ќе успее да се приспособи на својата нова реалност?",Фикција,Евгениј Водолазкин,Антолог,2018,336,"350,00 Денари"
Нож и пердув,"Љубовта во овој роман „вреска“ од секоја негова страница. Оваа книга е таква. Подарок за душа. А не ви е ни роденден. Ги спојува прозниот и поетскиот дискурс, што им дава карактеристичен белег на раскажувањето и на водењето на приказната. Во книгоиздателството „Антолог“ ова е една од најпродаваните книги од млад, харизматичен автор.",Фикција,Димитри Соле Љубин,Антолог,2010,128,"200,00 Денари"
